Downloaded from wid.world on 03-03-2023 at 17:45:50
Austria;"anninc_pall_999_i_AT
National income
Total population | average income or wealth | all ages | individual |  | ppp | constant (2021)
";pall;2020;
Austria;"anninc_pall_999_i_AT
National income
Total population | average income or wealth | all ages | individual |  | ppp | constant (2021)
";pall;2021;
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2013;40402.1162
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2014;40728.9556
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2015;41048.2202
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2016;41009.6915
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2017;41496.5372
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2018;41935.222
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2019;42159.1935
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2020;39318.3562
Belgium;"anninc_pall_992_i_BE
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2021;41162.6841
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2013;48122.8198
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2014;48538.4996
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2015;49197.6959
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2016;49507.5153
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2017;50016.6179
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2018;50656.0821
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2019;51494.549
Belgium;"agdpro_pall_992_i_BE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
";pall;2020;48366.2427
