"country","region","c_t","year","pr","cl","total"
"Philippines","Asia","c",2019,26,35,61
"Poland","Europe","c",2019,35,49,84
"Portugal","Europe","c",2019,39,57,96
"Qatar","Middle East","c",2019,7,18,25
"Romania","Europe","c",2019,34,47,81
"Russia","Eurasia","c",2019,5,15,20
"Rwanda","Africa","c",2019,9,14,23
"Samoa","Asia","c",2019,30,51,81
"San Marino","Europe","c",2019,38,57,95
"Sao Tome and Principe","Africa","c",2019,34,49,83
"Saudi Arabia","Middle East","c",2019,1,6,7
"Senegal","Africa","c",2019,30,42,72
"Serbia","Europe","c",2019,24,43,67
"Seychelles","Africa","c",2019,28,43,71
"Sierra Leone","Africa","c",2019,28,37,65
"Singapore","Asia","c",2019,19,32,51
"Slovakia","Europe","c",2019,36,52,88
"Slovenia","Europe","c",2019,39,55,94
"Solomon Islands","Asia","c",2019,30,49,79
"Somalia","Africa","c",2019,1,6,7
"Somaliland","Africa","t",2019,19,24,43
"South Africa","Africa","c",2019,33,46,79
"South Korea","Asia","c",2019,33,50,83
"South Ossetia","Eurasia","t",2019,2,8,10
"South Sudan","Africa","c",2019,-2,4,2
"Spain","Europe","c",2019,39,55,94
"Sri Lanka","Asia","c",2019,24,32,56
"St. Kitts and Nevis","Americas","c",2019,36,53,89
"St. Lucia","Americas","c",2019,38,54,92
"St. Vincent and the Grenadines","Americas","c",2019,36,55,91
"Sudan","Africa","c",2019,3,4,7
"Suriname","Americas","c",2019,34,43,77
"Sweden","Europe","c",2019,40,60,100
"Switzerland","Europe","c",2019,39,57,96
"Syria","Middle East","c",2019,-3,3,0
"Taiwan","Asia","c",2019,37,56,93
"Tajikistan","Eurasia","c",2019,0,9,9
"Tanzania","Africa","c",2019,20,25,45
"Thailand","Asia","c",2019,5,25,30
"The Gambia","Africa","c",2019,20,25,45
"Tibet","Asia","t",2019,-2,3,1
"Timor-Leste","Asia","c",2019,32,38,70
"Togo","Africa","c",2019,15,28,43
"Tonga","Asia","c",2019,30,49,79
"Transnistria","Eurasia","t",2019,10,14,24
"Trinidad and Tobago","Americas","c",2019,33,49,82
"Tunisia","Africa","c",2019,31,38,69
"Turkey","Europe","c",2019,15,16,31
"Turkmenistan","Eurasia","c",2019,0,2,2
"Tuvalu","Asia","c",2019,37,56,93
"Uganda","Africa","c",2019,11,25,36
"Ukraine","Eurasia","c",2019,26,34,60
"United Arab Emirates","Middle East","c",2019,5,12,17
"United Kingdom","Europe","c",2019,39,54,93
"United States","Americas","c",2019,33,53,86
"Uruguay","Americas","c",2019,40,58,98
"Uzbekistan","Eurasia","c",2019,1,8,9
"Vanuatu","Asia","c",2019,33,49,82
"Venezuela","Americas","c",2019,3,16,19
"Vietnam","Asia","c",2019,3,17,20
"West Bank","Middle East","t",2019,4,21,25
"Western Sahara","Africa","t",2019,-3,7,4
"Yemen","Middle East","c",2019,1,10,11
"Zambia","Africa","c",2019,22,32,54
"Zimbabwe","Africa","c",2019,12,19,31
